level,name,symbol,parent,sector,market_cap_cr,pe,roce,error,stage,stage2_score,close,weekly_ma,weekly_ma_slope_4w_pct,rs_vs_benchmark,checks,rrg_quadrant,rrg_quadrant_5d_ago,rs_ratio,rs_momentum,rs_ratio_5d_delta,rs_momentum_5d_delta,moving_to_leading,improving_toward_leading,rrg_tail,stock_score
stock,ZF Commercial,ZFCVINDIA.NS,Auto Components & Equipments,Automobile and Auto Components,29771.52,58.09,19.98,,stage_2,5,2616.0,2441.54,2.11,0.10875,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,101.81,100.42,-1.18,-2.54,False,False,2026-06-19 ratio=102.99 momentum=102.96; 2026-06-22 ratio=102.08 momentum=102.23; 2026-06-23 ratio=103.45 momentum=103.50; 2026-06-24 ratio=102.57 momentum=100.93; 2026-06-25 ratio=101.81 momentum=100.42,160.37
stock,United Spirits,UNITDSPR.NS,Breweries & Distilleries,Fast Moving Consumer Goods,100730.82,55.16,27.49,,not_stage_2,4,1384.9,1339.34,-1.26,0.05757,"{'price_above_30w_ma': True, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,101.98,102.49,1.48,-0.01,False,False,2026-06-19 ratio=100.49 momentum=102.50; 2026-06-22 ratio=100.94 momentum=102.91; 2026-06-23 ratio=101.18 momentum=102.35; 2026-06-24 ratio=101.40 momentum=102.18; 2026-06-25 ratio=101.98 momentum=102.49,122.35
stock,Radico Khaitan,RADICO.NS,Breweries & Distilleries,Fast Moving Consumer Goods,51293.03,83.15,24.21,,stage_2,5,3829.8,3109.6,1.72,0.1592,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,101.69,102.69,0.3,0.85,False,False,2026-06-19 ratio=101.39 momentum=101.84; 2026-06-22 ratio=101.36 momentum=101.18; 2026-06-23 ratio=101.30 momentum=101.03; 2026-06-24 ratio=101.35 momentum=101.52; 2026-06-25 ratio=101.69 momentum=102.69,170.34
stock,United Breweries,UBL.NS,Breweries & Distilleries,Fast Moving Consumer Goods,35134.16,93.95,10.68,,not_stage_2,0,1328.8,1505.32,-3.55,0.05524,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",lagging,lagging,98.73,97.93,-0.12,-1.46,False,False,2026-06-19 ratio=98.85 momentum=99.39; 2026-06-22 ratio=98.76 momentum=98.74; 2026-06-23 ratio=99.16 momentum=99.91; 2026-06-24 ratio=98.86 momentum=98.51; 2026-06-25 ratio=98.73 momentum=97.93,0.0
stock,Allied Blenders,ABDL.NS,Breweries & Distilleries,Fast Moving Consumer Goods,17406.36,75.98,18.38,,not_stage_2,4,622.3,534.63,-0.73,0.02587,"{'price_above_30w_ma': True, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,leading,101.3,97.65,-0.39,-3.46,False,False,2026-06-19 ratio=101.69 momentum=101.11; 2026-06-22 ratio=101.63 momentum=101.63; 2026-06-23 ratio=101.52 momentum=100.54; 2026-06-24 ratio=101.55 momentum=101.92; 2026-06-25 ratio=101.30 momentum=97.65,86.5
stock,Tilaknagar Inds.,TI.NS,Breweries & Distilleries,Fast Moving Consumer Goods,10735.42,42.46,11.78,,not_stage_2,1,433.8,442.89,-1.65,0.01803,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,improving,98.95,97.66,-0.82,-4.67,False,False,2026-06-19 ratio=99.76 momentum=102.33; 2026-06-22 ratio=99.47 momentum=99.11; 2026-06-23 ratio=99.28 momentum=97.12; 2026-06-24 ratio=99.22 momentum=97.55; 2026-06-25 ratio=98.95 momentum=97.66,20.0
stock,India Glycols,INDIAGLYCO.NS,Breweries & Distilleries,Fast Moving Consumer Goods,6404.07,21.83,12.43,,not_stage_2,1,955.45,961.0,-1.31,0.03972,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,lagging,99.0,98.14,-0.17,0.7,False,False,2026-06-19 ratio=99.17 momentum=97.44; 2026-06-22 ratio=99.05 momentum=96.68; 2026-06-23 ratio=98.82 momentum=96.31; 2026-06-24 ratio=98.96 momentum=97.31; 2026-06-25 ratio=99.00 momentum=98.14,20.0
stock,Piccadily Agro,PICCADIL.NS,Breweries & Distilleries,Fast Moving Consumer Goods,5566.86,40.49,18.01,,not_stage_2,1,564.75,575.73,-1.42,0.02348,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,lagging,98.49,95.88,-0.73,-2.41,False,False,2026-06-19 ratio=99.22 momentum=98.28; 2026-06-22 ratio=99.02 momentum=96.81; 2026-06-23 ratio=98.83 momentum=95.98; 2026-06-24 ratio=98.43 momentum=96.23; 2026-06-25 ratio=98.49 momentum=95.88,20.0
stock,Globus Spirits,GLOBUSSPR.NS,Breweries & Distilleries,Fast Moving Consumer Goods,2519.81,27.45,11.45,,not_stage_2,0,866.5,935.1,-3.5,0.03602,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",improving,improving,99.06,100.85,-0.22,-0.46,False,False,2026-06-19 ratio=99.28 momentum=101.31; 2026-06-22 ratio=99.37 momentum=102.29; 2026-06-23 ratio=99.25 momentum=101.55; 2026-06-24 ratio=99.09 momentum=101.01; 2026-06-25 ratio=99.06 momentum=100.85,4.25
stock,G M Breweries,GMBREW.NS,Breweries & Distilleries,Fast Moving Consumer Goods,2115.4,16.76,17.96,,not_stage_2,1,925.9,989.34,-2.81,0.03849,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': False, 'near_52w_high': False}",improving,improving,99.41,102.27,0.22,-0.67,False,False,2026-06-19 ratio=99.18 momentum=102.94; 2026-06-22 ratio=98.98 momentum=102.80; 2026-06-23 ratio=99.64 momentum=102.33; 2026-06-24 ratio=99.71 momentum=102.89; 2026-06-25 ratio=99.41 momentum=102.27,31.35
stock,Assoc.Alcohols,ASALCBR.NS,Breweries & Distilleries,Fast Moving Consumer Goods,1727.21,19.52,17.98,,not_stage_2,3,860.2,849.31,-2.78,0.03576,"{'price_above_30w_ma': True, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': False}",improving,lagging,99.83,100.07,0.52,1.5,False,True,2026-06-19 ratio=99.31 momentum=98.57; 2026-06-22 ratio=99.48 momentum=98.10; 2026-06-23 ratio=99.22 momentum=97.89; 2026-06-24 ratio=99.04 momentum=97.76; 2026-06-25 ratio=99.83 momentum=100.07,60.35
stock,Firstsour.Solu.,FSL.NS,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Services,17212.6,22.92,16.17,,not_stage_2,0,243.45,267.29,-4.81,0.01012,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",lagging,weakening,99.85,95.62,-0.17,-0.42,False,False,2026-06-19 ratio=100.03 momentum=96.04; 2026-06-22 ratio=99.94 momentum=97.19; 2026-06-23 ratio=99.96 momentum=97.28; 2026-06-24 ratio=99.92 momentum=96.57; 2026-06-25 ratio=99.85 momentum=95.62,0.0
stock,eClerx Services,ECLERX.NS,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Services,13209.42,18.7,34.81,,not_stage_2,0,1404.5,1778.22,-5.73,0.05838,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",improving,improving,98.78,103.02,-0.05,1.39,False,False,2026-06-19 ratio=98.83 momentum=101.63; 2026-06-22 ratio=99.20 momentum=101.54; 2026-06-23 ratio=98.61 momentum=98.79; 2026-06-24 ratio=98.64 momentum=101.11; 2026-06-25 ratio=98.78 momentum=103.02,15.1
stock,RPSG Ventures,RPSGVENT.NS,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Services,2943.86,,10.69,,not_stage_2,3,889.75,804.84,1.17,0.03699,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",improving,lagging,99.4,100.03,0.48,4.12,False,True,2026-06-19 ratio=98.93 momentum=95.91; 2026-06-22 ratio=98.94 momentum=95.79; 2026-06-23 ratio=98.97 momentum=96.06; 2026-06-24 ratio=98.79 momentum=96.46; 2026-06-25 ratio=99.40 momentum=100.03,62.49
stock,Hinduja Global,HGS.NS,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Services,1955.01,,1.42,,not_stage_2,2,420.25,410.87,-2.49,0.01747,"{'price_above_30w_ma': True, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': False, 'near_52w_high': False}",weakening,leading,100.08,95.31,-0.61,-4.81,False,False,2026-06-19 ratio=100.69 momentum=100.12; 2026-06-22 ratio=101.24 momentum=100.62; 2026-06-23 ratio=100.90 momentum=100.60; 2026-06-24 ratio=100.59 momentum=93.75; 2026-06-25 ratio=100.08 momentum=95.31,40.4
stock,One Point One,ONEPOINT.NS,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Services,1522.4,38.77,10.88,,not_stage_2,3,57.9,53.17,1.66,0.00241,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,weakening,99.78,98.05,-0.31,1.65,False,False,2026-06-19 ratio=100.10 momentum=96.40; 2026-06-22 ratio=99.98 momentum=99.13; 2026-06-23 ratio=100.01 momentum=100.27; 2026-06-24 ratio=99.88 momentum=98.21; 2026-06-25 ratio=99.78 momentum=98.05,63.32
stock,Alldigi Tech,ALLDIGI.NS,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Services,1223.49,13.81,30.34,,not_stage_2,1,802.9,819.42,-0.74,0.03338,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,lagging,98.02,96.23,-0.78,-2.27,False,False,2026-06-19 ratio=98.80 momentum=98.51; 2026-06-22 ratio=98.00 momentum=97.59; 2026-06-23 ratio=98.59 momentum=97.86; 2026-06-24 ratio=98.71 momentum=97.49; 2026-06-25 ratio=98.02 momentum=96.23,20.0
stock,Kandarp Digi,KANDARP.NS,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Services,90.22,48.77,11.22,,not_stage_2,0,100.55,140.8,-0.47,0.00418,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",improving,lagging,97.89,104.99,-0.26,7.14,False,False,2026-06-19 ratio=98.15 momentum=97.85; 2026-06-22 ratio=98.10 momentum=96.61; 2026-06-23 ratio=98.07 momentum=101.18; 2026-06-24 ratio=97.93 momentum=104.07; 2026-06-25 ratio=97.89 momentum=104.99,24.95
stock,We Win Ltd,WEWIN.NS,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Services,49.28,10.95,10.91,,not_stage_2,2,48.5,48.5,0.41,0.00202,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",lagging,lagging,98.55,95.14,-0.01,-2.4,False,False,2026-06-19 ratio=98.56 momentum=97.54; 2026-06-22 ratio=98.68 momentum=96.79; 2026-06-23 ratio=98.83 momentum=97.30; 2026-06-24 ratio=98.66 momentum=96.63; 2026-06-25 ratio=98.55 momentum=95.14,40.82
stock,HRH Next,HRHNEXT.NS,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Services,35.32,7.27,15.84,,not_stage_2,0,26.75,28.21,-2.69,0.00111,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",lagging,lagging,98.91,98.56,1.18,1.68,False,False,2026-06-19 ratio=97.74 momentum=96.87; 2026-06-22 ratio=98.17 momentum=97.33; 2026-06-23 ratio=98.34 momentum=96.28; 2026-06-24 ratio=98.42 momentum=96.02; 2026-06-25 ratio=98.91 momentum=98.56,0.0
stock,Plada Infotech S,PLADAINFO.NS,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Services,9.82,5.68,12.1,,not_stage_2,1,11.45,12.54,-3.86,0.00048,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': False, 'near_52w_high': False}",weakening,weakening,100.1,99.1,-0.16,4.84,False,False,2026-06-19 ratio=100.26 momentum=94.27; 2026-06-22 ratio=100.12 momentum=93.92; 2026-06-23 ratio=100.42 momentum=100.69; 2026-06-24 ratio=100.15 momentum=99.34; 2026-06-25 ratio=100.10 momentum=99.10,20.5
stock,Polycab India,POLYCAB.NS,Cables - Electricals,Capital Goods,143570.27,57.04,33.2,,stage_2,5,9531.0,8077.28,3.72,0.3962,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,weakening,100.51,97.28,-0.86,-1.05,False,False,2026-06-19 ratio=101.36 momentum=98.33; 2026-06-22 ratio=101.20 momentum=98.29; 2026-06-23 ratio=101.18 momentum=97.53; 2026-06-24 ratio=100.76 momentum=96.38; 2026-06-25 ratio=100.51 momentum=97.28,134.99
stock,KEI Industries,KEI.NS,Cables - Electricals,Capital Goods,50362.39,54.84,20.07,,stage_2,5,5268.0,4652.17,3.97,0.21899,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,leading,100.23,97.98,-1.37,-2.24,False,False,2026-06-19 ratio=101.60 momentum=100.22; 2026-06-22 ratio=101.57 momentum=101.88; 2026-06-23 ratio=101.48 momentum=100.38; 2026-06-24 ratio=100.80 momentum=99.06; 2026-06-25 ratio=100.23 momentum=97.98,134.09
stock,R R Kabel,RRKABEL.NS,Cables - Electricals,Capital Goods,28144.04,55.83,28.1,,stage_2,5,2488.3,1624.82,8.21,0.10344,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,weakening,101.7,101.95,0.27,4.96,True,False,2026-06-19 ratio=101.42 momentum=96.99; 2026-06-22 ratio=101.44 momentum=98.26; 2026-06-23 ratio=101.52 momentum=98.96; 2026-06-24 ratio=101.61 momentum=100.51; 2026-06-25 ratio=101.70 momentum=101.95,189.67
