level,name,symbol,parent,nse_industry,member_count,source_url,error,stage,stage2_score,close,weekly_ma,weekly_ma_slope_4w_pct,rs_vs_benchmark,checks,rrg_quadrant,rrg_quadrant_5d_ago,rs_ratio,rs_momentum,rs_ratio_5d_delta,rs_momentum_5d_delta,moving_to_leading,improving_toward_leading,rrg_tail,just_entered_leading
industry,LPG/CNG/PNG/LNG Supplier,equal_weight_top_members,"Oil, Gas & Consumable Fuels",Gas,7,https://www.screener.in/market/IN03/IN0301/IN030101/IN030101003/,,not_stage_2,3,88.57,84.9,0.54,0.00369,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,improving,99.07,99.3,0.17,-1.45,False,False,2026-07-20 ratio=98.90 momentum=100.75; 2026-07-21 ratio=98.76 momentum=101.64; 2026-07-22 ratio=98.73 momentum=101.53; 2026-07-23 ratio=98.48 momentum=98.50; 2026-07-27 ratio=99.07 momentum=99.30,False
industry,Life Insurance,equal_weight_top_members,Financial Services,Insurance,6,https://www.screener.in/market/IN05/IN0501/IN050104/IN050104002/,,not_stage_2,1,87.98,92.84,-1.92,0.00367,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,improving,99.26,98.64,0.46,-2.58,False,False,2026-07-20 ratio=98.79 momentum=101.22; 2026-07-21 ratio=98.84 momentum=99.94; 2026-07-22 ratio=98.74 momentum=99.94; 2026-07-23 ratio=99.12 momentum=99.73; 2026-07-27 ratio=99.26 momentum=98.64,False
industry,Logistics Solution Provider,equal_weight_top_members,Services,Transport Services,10,https://www.screener.in/market/IN09/IN0901/IN090102/IN090102002/,,stage_2,5,96.04,91.1,0.5,0.004,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,weakening,102.36,102.53,1.67,3.12,True,False,2026-07-20 ratio=100.69 momentum=99.40; 2026-07-21 ratio=101.04 momentum=101.04; 2026-07-22 ratio=101.04 momentum=102.61; 2026-07-23 ratio=100.75 momentum=98.31; 2026-07-27 ratio=102.36 momentum=102.53,True
industry,Lubricants,equal_weight_top_members,"Oil, Gas & Consumable Fuels",Petroleum Products,9,https://www.screener.in/market/IN03/IN0301/IN030103/IN030103002/,,stage_2,5,108.16,87.55,2.62,0.00451,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,weakening,102.24,101.32,1.03,2.07,True,False,2026-07-20 ratio=101.21 momentum=99.24; 2026-07-21 ratio=101.36 momentum=100.36; 2026-07-22 ratio=101.54 momentum=101.45; 2026-07-23 ratio=102.80 momentum=102.72; 2026-07-27 ratio=102.24 momentum=101.32,True
industry,Meat Products including Poultry,equal_weight_top_members,Fast Moving Consumer Goods,Food Products,3,https://www.screener.in/market/IN04/IN0401/IN040104/IN040104006/,,stage_2,5,156.74,121.12,3.41,0.00653,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,weakening,101.16,98.52,-0.14,0.35,False,False,2026-07-20 ratio=101.30 momentum=98.17; 2026-07-21 ratio=101.16 momentum=98.73; 2026-07-22 ratio=101.15 momentum=99.26; 2026-07-23 ratio=101.31 momentum=98.89; 2026-07-27 ratio=101.16 momentum=98.52,False
industry,Media & Entertainment,equal_weight_top_members,"Media, Entertainment & Publication",Entertainment,10,https://www.screener.in/market/IN02/IN0204/IN020402/IN020402003/,,stage_2,5,104.77,100.27,0.63,0.00437,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,101.62,103.54,0.16,0.82,False,False,2026-07-20 ratio=101.46 momentum=102.72; 2026-07-21 ratio=101.86 momentum=103.72; 2026-07-22 ratio=101.18 momentum=103.52; 2026-07-23 ratio=101.71 momentum=103.65; 2026-07-27 ratio=101.62 momentum=103.54,False
industry,Medical Equipment & Supplies,equal_weight_top_members,Healthcare,Healthcare Equipment & Supplies,10,https://www.screener.in/market/IN06/IN0601/IN060102/IN060102001/,,not_stage_2,4,88.42,75.42,-0.2,0.00368,"{'price_above_30w_ma': True, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,102.67,103.56,0.48,2.38,False,False,2026-07-20 ratio=102.19 momentum=101.18; 2026-07-21 ratio=102.61 momentum=102.82; 2026-07-22 ratio=102.84 momentum=103.00; 2026-07-23 ratio=102.33 momentum=101.93; 2026-07-27 ratio=102.67 momentum=103.56,False
industry,Microfinance Institutions,equal_weight_top_members,Financial Services,Finance,5,https://www.screener.in/market/IN05/IN0501/IN050101/IN050101007/,,stage_2,5,146.64,117.09,4.62,0.00611,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,weakening,101.55,97.65,-0.1,-0.29,False,False,2026-07-20 ratio=101.65 momentum=97.94; 2026-07-21 ratio=101.86 momentum=99.06; 2026-07-22 ratio=101.45 momentum=98.94; 2026-07-23 ratio=101.47 momentum=98.25; 2026-07-27 ratio=101.55 momentum=97.65,False
industry,Non Banking Financial Company (NBFC),equal_weight_top_members,Financial Services,Finance,10,https://www.screener.in/market/IN05/IN0501/IN050101/IN050101004/,,not_stage_2,4,124.85,121.3,-0.81,0.0052,"{'price_above_30w_ma': True, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,weakening,101.5,100.02,0.83,2.89,True,False,2026-07-20 ratio=100.67 momentum=97.12; 2026-07-21 ratio=101.37 momentum=98.17; 2026-07-22 ratio=101.66 momentum=100.69; 2026-07-23 ratio=101.35 momentum=99.50; 2026-07-27 ratio=101.50 momentum=100.02,False
industry,Offshore Support Solution Drilling,equal_weight_top_members,"Oil, Gas & Consumable Fuels",Oil,5,https://www.screener.in/market/IN03/IN0301/IN030102/IN030102002/,,not_stage_2,1,79.76,80.71,-0.87,0.00332,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",improving,improving,99.4,101.29,0.29,-0.69,False,False,2026-07-20 ratio=99.12 momentum=101.98; 2026-07-21 ratio=99.12 momentum=103.31; 2026-07-22 ratio=99.29 momentum=100.58; 2026-07-23 ratio=99.90 momentum=101.73; 2026-07-27 ratio=99.40 momentum=101.29,False
