level,name,symbol,parent,error,stage,stage2_score,close,weekly_ma,weekly_ma_slope_4w_pct,rs_vs_benchmark,checks,rrg_quadrant,rrg_quadrant_5d_ago,rs_ratio,rs_momentum,rs_ratio_5d_delta,rs_momentum_5d_delta,moving_to_leading,improving_toward_leading,rrg_tail,is_candidate,sector_moving_to_leading
stock,Macrotech Developers,LODHA.NS,Real Estate Developers,,not_stage_2,3,947.45,944.23,-3.74,0.03939,"{'price_above_30w_ma': True, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': False}",leading,weakening,101.46,103.47,0.81,4.63,True,False,2026-06-19 ratio=100.65 momentum=98.84; 2026-06-22 ratio=100.78 momentum=100.77; 2026-06-23 ratio=100.61 momentum=99.07; 2026-06-24 ratio=101.21 momentum=103.75; 2026-06-25 ratio=101.46 momentum=103.47,False,False
stock,Bank of Baroda,BANKBARODA.NS,PSU Banks,,not_stage_2,3,279.15,283.09,-0.6,0.0116,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,leading,100.97,99.38,-0.56,-3.19,False,False,2026-06-19 ratio=101.53 momentum=102.58; 2026-06-22 ratio=102.11 momentum=106.34; 2026-06-23 ratio=101.23 momentum=97.52; 2026-06-24 ratio=101.17 momentum=99.42; 2026-06-25 ratio=100.97 momentum=99.38,False,False
stock,Mahindra and Mahindra,M&M.NS,Auto OEM,,not_stage_2,3,3182.2,3318.58,-2.5,0.13228,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,lagging,100.58,102.09,1.64,3.11,True,False,2026-06-19 ratio=98.94 momentum=98.98; 2026-06-22 ratio=98.67 momentum=99.75; 2026-06-23 ratio=98.85 momentum=99.79; 2026-06-24 ratio=98.92 momentum=100.95; 2026-06-25 ratio=100.58 momentum=102.09,False,False
stock,TVS Motor,TVSMOTOR.NS,Two Wheelers,,not_stage_2,3,3569.7,3601.34,-0.1,0.14839,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,improving,100.56,103.6,1.26,3.39,True,False,2026-06-19 ratio=99.30 momentum=100.22; 2026-06-22 ratio=99.60 momentum=102.03; 2026-06-23 ratio=99.70 momentum=101.38; 2026-06-24 ratio=99.33 momentum=100.68; 2026-06-25 ratio=100.56 momentum=103.60,False,False
stock,Nestle India,NESTLEIND.NS,FMCG Staples,,not_stage_2,3,1402.6,1315.96,1.29,0.05831,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,weakening,99.65,93.02,-0.44,-6.05,False,False,2026-06-19 ratio=100.09 momentum=99.07; 2026-06-22 ratio=99.80 momentum=97.89; 2026-06-23 ratio=99.83 momentum=97.81; 2026-06-24 ratio=99.45 momentum=95.40; 2026-06-25 ratio=99.65 momentum=93.02,False,False
stock,Bajaj Auto,BAJAJ-AUTO.NS,Two Wheelers,,not_stage_2,3,9843.0,9659.48,1.68,0.40917,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,lagging,99.08,95.39,-0.64,-2.12,False,False,2026-06-19 ratio=99.72 momentum=97.51; 2026-06-22 ratio=99.88 momentum=97.53; 2026-06-23 ratio=99.73 momentum=97.34; 2026-06-24 ratio=98.88 momentum=95.74; 2026-06-25 ratio=99.08 momentum=95.39,False,False
stock,JSW Steel,JSWSTEEL.NS,Metals Steel,,not_stage_2,3,1231.0,1211.05,1.28,0.05117,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,weakening,98.36,96.52,-1.82,-1.11,False,False,2026-06-19 ratio=100.18 momentum=97.63; 2026-06-22 ratio=99.86 momentum=97.68; 2026-06-23 ratio=99.11 momentum=97.26; 2026-06-24 ratio=98.46 momentum=96.83; 2026-06-25 ratio=98.36 momentum=96.52,False,False
stock,Hindalco,HINDALCO.NS,Metals Steel,,not_stage_2,2,953.2,961.84,3.21,0.03962,"{'price_above_30w_ma': False, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,lagging,97.97,95.28,-1.07,-2.07,False,False,2026-06-19 ratio=99.05 momentum=97.35; 2026-06-22 ratio=99.00 momentum=97.41; 2026-06-23 ratio=98.70 momentum=95.99; 2026-06-24 ratio=98.38 momentum=95.91; 2026-06-25 ratio=97.97 momentum=95.28,False,False
stock,Tata Steel,TATASTEEL.NS,Metals Steel,,not_stage_2,2,188.71,195.84,1.74,0.00784,"{'price_above_30w_ma': False, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,lagging,97.27,95.5,-0.81,-1.9,False,False,2026-06-19 ratio=98.08 momentum=97.39; 2026-06-22 ratio=98.04 momentum=97.28; 2026-06-23 ratio=97.70 momentum=95.66; 2026-06-24 ratio=97.22 momentum=95.83; 2026-06-25 ratio=97.27 momentum=95.50,False,False
stock,Hindustan Unilever,HINDUNILVR.NS,FMCG Staples,,not_stage_2,1,2174.2,2252.29,-1.58,0.09038,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,improving,99.02,96.89,-0.43,-3.69,False,False,2026-06-19 ratio=99.45 momentum=100.58; 2026-06-22 ratio=99.16 momentum=99.06; 2026-06-23 ratio=99.15 momentum=98.55; 2026-06-24 ratio=98.83 momentum=95.14; 2026-06-25 ratio=99.02 momentum=96.89,False,False
stock,Canara Bank,CANBK.NS,PSU Banks,,not_stage_2,1,128.95,141.35,-1.26,0.00536,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,lagging,98.45,95.94,-1.1,-1.95,False,False,2026-06-19 ratio=99.55 momentum=97.89; 2026-06-22 ratio=99.72 momentum=99.07; 2026-06-23 ratio=99.01 momentum=93.92; 2026-06-24 ratio=98.73 momentum=95.23; 2026-06-25 ratio=98.45 momentum=95.94,False,False
stock,Hero MotoCorp,HEROMOTOCO.NS,Two Wheelers,,not_stage_2,1,4896.1,5378.22,-2.03,0.20353,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,improving,98.14,97.83,-0.83,-3.21,False,False,2026-06-19 ratio=98.97 momentum=101.04; 2026-06-22 ratio=98.92 momentum=101.09; 2026-06-23 ratio=99.38 momentum=101.39; 2026-06-24 ratio=98.18 momentum=97.23; 2026-06-25 ratio=98.14 momentum=97.83,False,False
stock,ITC,ITC.NS,FMCG Staples,,not_stage_2,0,290.0,321.08,-4.71,0.01206,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",improving,improving,98.87,100.66,-0.17,-3.96,False,False,2026-06-19 ratio=99.04 momentum=104.62; 2026-06-22 ratio=98.83 momentum=102.77; 2026-06-23 ratio=99.10 momentum=104.62; 2026-06-24 ratio=98.91 momentum=100.75; 2026-06-25 ratio=98.87 momentum=100.66,False,False
